"행정구역별","시점",인구 천명당 사설학원수<br>(A÷B×1000) (개),사설학원수<br>(A) (개),주민등록인구<br>(B) (명)
"수영구","2020",1.6,275,176894
"수영구","2021",1.5,269,175095
"수영구","2022",1.6,280,174806
"사상구","2010",1.0,270,257843
"사상구","2011",1.0,259,254413
"사상구","2012",1.0,244,250424
"사상구","2013",0.9,226,246797
"사상구","2014",0.9,209,242953
"사상구","2015",0.8,202,237711
"사상구","2016",0.8,194,232800
"사상구","2017",0.8,191,229219
"사상구","2018",0.8,181,223361
"사상구","2019",0.8,171,218094
"사상구","2020",0.8,175,212586
"사상구","2021",0.8,177,208298
"사상구","2022",0.9,178,203789
"기장군","2010",1.1,110,102557
"기장군","2011",1.1,119,108095
"기장군","2012",1.1,124,114566
"기장군","2013",0.9,121,132507
"기장군","2014",1.0,140,144748
"기장군","2015",1.1,169,153093
"기장군","2016",1.1,182,158527
"기장군","2017",1.2,193,161651
"기장군","2018",1.2,192,164864
"기장군","2019",1.3,215,164716
"기장군","2020",1.3,232,174545
"기장군","2021",1.5,261,177125
"기장군","2022",1.7,308,178614
